Country,Population (x1000),Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death,Week,Susc,Conf,Import,Death
Bermuda,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,312,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,1,,12,,,1,,12,,,1,,12,,,1,,12,,,1,,12,,,1,,12,,,1,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,17,,,3,,,,,,,17,,,3,,17,,,3,,17,,,3,,,,,,,17,,,3,,17,,,3,
Canada,35182,,,,,,2,,,79,,2,,,79,,2,,,79,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,9,,200,7,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,4,,,312,,36,,,85,,36,,,85,,36,,,85,,36,,,85,,36,,,85,,36,,,85,,36,,,85,,,,,,,36,,,85,,36,,,85,,36,,,85,,,,,,,36,,,85,,52,,,506,
Mexico,118129,,,,,,1,,,3,,1,,,3,,2,,12,3,,3,,43,3,,5,,51,5,,6,,86,7,,6,,86,7,,8,,,43,,9,,219,7,,10,,250,8,,11,,303,8,,13,,387,9,,13,,475,9,,14,,523,9,,14,,523,9,,16,,751,9,,17,,905,11,,19,,1067,11,,19,,1145,11,,21,,1165,11,,21,,1218,9,,23,,1368,11,,24,,1436,11,,25,,1589,11,,26,,1832,11,,27,,2044,11,,28,,2235,11,,29,,2487,11,,30,,2646,11,,31,,3306,12,,32,,3698,14,,33,,4205,14,,33,,4570,14,,35,,4570,15,,36,,5721,16,,37,,6314,17,,38,,7007,18,,39,,7413,20,,40,,7942,20,,41,,8303,20,,42,,8668,20,,43,,9000,20,,44,,9375,20,,44,,9622,20,,,,9952,20,,,,,,,47,,10760,20,,48,,11050,20,,50,,11199,20,,,,,,,52,,11468,20,,52,,11577,20,
USA,320051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,25,,8,,,43,,,,,,,10,,,55,,10,,,55,,12,,,68,,12,,,68,,14,,,77,,14,,,77,,16,,,93,,16,,,93,,18,,,126,,18,,,126,,20,,,146,,20,,,146,,22,,,157,,22,,,157,,24,,,170,,25,,,177,,26,,,200,,27,,,207,,28,,,224,,29,,,237,,30,,,249,,31,,,265,,32,,,273,,33,,,294,,34,,,294,,35,,,325,,36,,,332,,37,,,433,,38,,,467,,39,,,478,,40,,,510,,41,,,524,,42,,,533,,43,,,542,,44,,,562,,44,,,567,,,,,571,,,,,,,48,,,623,,49,,,629,,50,,,653,,,,,,,50,,,653,,52,,,679,
North America,473431,,0,0,0,0,,0,0,82,0,,0,0,82,0,,0,12,82,0,,0,43,315,0,,0,51,317,0,,0,86,344,0,,0,86,362,0,,0,200,362,0,,0,219,374,0,,0,250,375,0,,0,303,388,0,,0,387,389,0,,0,475,398,0,,0,523,399,0,,0,523,415,0,,0,751,415,0,,0,905,450,0,,0,1067,450,0,,0,1145,470,0,,0,1165,470,0,,0,1218,481,0,,0,1368,483,0,,0,1436,496,0,,0,1589,503,0,,0,1832,526,0,,0,2044,533,0,,0,2235,550,0,,0,2487,563,0,,0,2646,575,0,,0,3306,592,0,,0,3698,602,0,,0,4205,623,0,,0,4570,623,0,,0,4570,655,0,,0,5721,663,0,,0,6314,765,0,,0,7007,800,0,,0,7413,813,0,,0,7942,618,0,,0,8303,632,0,,0,8668,641,0,,0,9000,650,0,,0,9375,670,0,,0,9622,675,0,,0,9952,679,0,,0,0,0,0,,0,10760,731,0,,0,11050,737,0,,0,11199,761,0,,0,0,0,0,,0,11468,761,0,,0,11577,1208,0
Belize,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,4872,,,,,,2,,57,,,2,,57,,,2,,57,,,3,,87,,,4,,67,,,5,,44,,,5,,214,49,,6,,220,49,,7,,230,49,,7,,230,49,,7,,230,49,,7,,230,49,,12,,105,,,12,,105,,,12,,105,,,12,,105,,,12,,105,,,12,,105,,,12,,105,,,12,,105,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,20,,142,,,,,,,,20,,142,,,20,,142,,,20,,142,,,,,,,,20,,142,,,52,,4912,,
El Salvador,6340,,,,,,,,,,,,,,,,3,2272,,,,3,2272,,,,5,3391,,,,5,3391,,,,6,7789,,,,8,8120,,,,9,8495,,,,10,8801,,,,11,9109,,,,11,9109,,,,13,9482,,,,13,9482,,,,15,10177,,,,16,10583,,,,16,10583,,,,16,10583,,,,19,8652,3,,,20,9496,3,,,21,10739,4,,,22,12187,3,,,23,14078,4,,,23,14078,4,,,25,18197,5,,,26,20898,8,,,27,23811,13,,,27,23811,13,,,27,23811,13,,,27,23811,13,,,27,23811,13,,,32,34157,16,,,32,34157,16,,,33,36140,16,,,33,36140,16,,,33,36140,16,,,35,39704,17,,,35,39704,17,,,35,39704,17,,,35,39704,17,,,35,39704,17,,,35,39704,17,,,35,39704,17,,,35,39704,17,,,35,39704,17,,,,,,,,35,39704,17,,1,35,39704,17,,,35,39704,17,,,,,,,,35,39704,17,,,52,63656,17,,
Guatemala,15468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4120,217,,1,14,4120,217,,1,16,4956,256,,1,16,4956,256,,1,16,4956,256,,1,16,4956,256,,1,20,6779,457,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,,,,,,21,7342,522,,1,21,7342,522,,1,21,7342,522,,1,,,,,,48,27759,1998,,5,52,30716,2023,,5
Honduras,8098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1556,,,,6,1556,,,,6,1556,,,,10,12816,5,,,10,12816,5,,,10,12816,5,,,10,12816,5,,,10,12816,5,,,14,17545,5,,,14,17545,5,,,14,17545,5,,,14,17545,5,,,15,17545,5,,,14,17545,5,,,20,28544,5,,,20,28544,5,,,20,28544,5,,,20,28544,5,,,20,28544,5,,,20,28544,5,,,26,49162,5,,,26,49162,5,,,26,49162,5,,,26,49162,5,,,26,49162,5,,,26,49162,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,33,71835,5,,,,,,,,45,82003,5,,1,45,82003,5,,1,45,82003,5,,1,,,,,,45,82003,5,,1,52,85369,5,,3
